id;external_code;name;name_so;database_version_id;id_regional_energy_system;id_regional_district
8550;14ed3de6-a26c-5d88-b23b-057ac9ac89d0;«Чашкинская ГТЭС»;;22;853;948
7796;2ad699ec-577b-5c36-bd53-47b9d6fcd643;АО «ЕвроХим-Северо-Запад»;;22;824;933
8294;80f9adac-4074-5aac-9bf2-15dc041949e4;Армавирская ТЭЦ;;22;838;929
7792;8b73aa2c-58db-5a11-970d-014d48ebc646;БиоТЭС Вирео Энерджи;;22;824;933
8475;77e61f2e-cf10-5025-8fde-587a4bedf07b;БКЭС «Искра»;;22;856;953
8632;dd85549c-c02e-52e4-bfc3-ab6e4c2df8f3;Бокс №4;;22;883;982
8059;099b3d88-8ab6-5ff7-9ad9-bab03345c3b5;БЦКК 110 кВ ООО «БКФ»;;22;846;941
8818;4b8c8b1d-3efb-5ef3-98f9-02475352b7b4;Ванкорская ГТЭС;;22;839;930
8623;8b51f927-82a9-5295-ac72-d8b77278169c;Ватлорская ГПЭС;;22;883;986
7782;690147a1-d5f2-55db-a6d2-d76ca55b2a26;Волховская ТЭЦ;;22;824;933
8897;e7a45ec0-3877-55b4-86d8-4adb6c5522b7;Восточная ТЭЦ;;22;854;949
8681;7d6c208f-21b6-550e-adb8-965773f3cdab;Воткинская ТЭЦ;;22;884;983
8724;e5f36766-3af0-5b19-937c-86e97fc114f8;Газопоршневая электростанция МЭК;;22;888;987
8682;5c18485a-1cdd-5736-8b52-7de65e046306;Глазовская ТЭЦ;;22;884;983
7739;d4eea708-f8cd-50f3-885d-dd5a7ea812b9;ГПТЭС-1 Воркутауголь;;22;862;959
7740;53c4e918-36f3-5744-933f-964a2ecd337f;ГПТЭС-2 Воркутауголь;;22;862;959
8270;b63b8b30-d3a6-5664-8518-b0adf2b906fc;ГПТЭС Кавказцемент;;22;834;925
7741;03daa8a6-ad41-59b1-8236-f16a90974d05;ГПТЭС ООО «Енисей»;;22;862;959
7798;f16fdc2f-d9b1-5719-a66d-81735cca2f72;ГПТЭС Петербургцемент;;22;824;933
8710;425cf697-45e0-5b91-9dd3-82649d37d713;ГПУ Южуралзолото;;22;888;987
8624;2f6af529-b08d-5b62-89ae-bfaeac7b962d;ГПЭС-1 Восточно-Елового месторождения;;22;883;986
8625;97b9ee01-b54f-5f16-823b-052e8ee3afa5;ГПЭС-2 Восточно-Сургутского месторождения;;22;883;986
8626;0c07d012-a502-532a-aaa7-5b07d1bec341;ГПЭС-3 Яунлорского месторождения;;22;883;986
7856;1ce85c15-117a-5152-a797-2f3e4f9c4ce7;ГПЭС «КЭМЗ»;;22;819;912
8471;4f2645bd-f57f-5905-b228-7132b2095dc2;ГПЭС «Метели»;;22;856;953
8670;4ed24cb8-b3e9-5bc4-b455-68fa1d29d5eb;ГПЭС 24 МВт на Приразломном месторождении;;22;883;986
8671;1abe8340-2f42-5985-818d-b3596232a187;ГПЭС Аггреко-1;;22;883;986
8672;0d7cde90-a5be-5aca-8f95-a379d40ef0ff;ГПЭС Аггреко-2;;22;883;986
8069;32544719-c163-560b-937a-1bd72ae41637;ГПЭС Азия Цемент;;22;852;947
8416;299ee163-ee04-5121-a970-429abe09125b;ГПЭС АО «Кавминстекло»;;22;877;977
8119;11b21dda-54fc-52fc-aacb-3b4af955424d;ГПЭС АО «Энергоцентр Майский»;;22;868;965
8192;afa1bb14-0d75-5242-a714-a0da6b76f421;ГПЭС Ботаника;;22;820;913
8719;baf56a1a-c07b-5f9e-affe-530b147c999b;ГПЭС Варненская;;22;888;987
8314;3b7df5f9-ea2d-54cf-9a29-a21b872c7776;ГПЭС Верхнебаканского ЦЗ;;22;838;929
