numb1120	v	year	y	snk	sntp	bk	btp	snbas	Ksn	bbas	Kh
1298	0	2022	0	4.00345959906322	0.941906831726458	215.575379203344	106.804185061982	0	0	0	0
1312	0	2022	1002.58213516705	1.83356220496444	0.944888808858253	269.460768786111	220.253255446746	0	0	0	0
1437	0	2022	102.400192720735	3.85766888186706	0.636346947437615	361.183332743978	274.641618069192	0	0	0	0
1439	0	2022	229.639210461969	3.09376555758746	0.950457284252525	61.973413547417	4.69064940026674	0	0	0	0
1440	0	2022	174.484233884016	2.73520641649405	0.904576496941086	612.841440564006	612.841440564006	0	0	0	0
1441	0	2022	162.966584393393	0.599997140374261	0.850000026478016	174.443394738239	174.443394738239	0	0	0	0
1442	0	2022	127.24922420323	0.55999771622831	0.859999994879436	195.349009256388	195.349009256388	0	0	0	0
1571	0	2022	0	2.03785029688418	0	153.725628569391	0	0	0	0	0
1580	0	2022	0	1.83	0	1050	0	0	0	0	0
1588	0	2022	651.052449002021	1.52830761671883	0.972610559818552	259.799471094715	259.799471094715	0	0	0	0
1594	0	2022	4501.10306647478	0.937162311119744	0.979319253564371	478.529453814114	369.186763451459	0	0	0	0
1595	0	2022	0	7.3409976328254	0.926590023671746	289.829562763728	289.829562763728	0	0	0	0
1684	0	2022	430.074698322822	5.36177849904944	0.856961177775084	266.510974450227	266.510974450227	0	0	0	0
1751	0	2022	1232.15467372511	4.23798252791474	0.938447708059094	253.696762549811	174.550936276504	0	0	0	0
1840	0	2022	386.256365890612	2.60091965357976	0.903339184982281	282.620118859201	188.904567661902	0	0	0	0
2072	0	2022	0	4.5	0	460	0	0	0	0	0
3087	0	2022	81.8407042852638	1.44200050502927	0.85580033371207	203.906059564775	203.906059564775	0	0	0	0
3089	0	2022	0	2.52563938395836	0	239.915989145787	0	0	0	0	0
3132	0	2022	0	9.37195480663381	0.811749047755781	684.834532414622	562.189287442671	0	0	0	0
3155	0	2022	986.990536877481	2.98375566686388	0.947860498312365	221.599088991318	221.599088991318	0	0	0	0
3170	0	2022	0	6.22739636716701	0	309.257580587476	0	0	0	0	0
3171	0	2022	1276.82738652126	5.97673398285191	0.938880742903969	259.338962276548	259.338962276548	0	0	0	0
3176	0	2022	0	5.2	0	269.614984391259	0	0	0	0	0
3184	0	2022	0	1.76356498113134	0	268.042578026979	0	0	0	0	0
3185	0	2022	0		0		0	0	0	0	0
3203	0	2022	0	6.1	0	255	0	0	0	0	0
3227	0	2022	0	2	0	370	0	0	0	0	0
3228	0	2022	1084.23530205759	2.87103375297614	0.958885404833414	311.161739488032	311.161739488032	0	0	0	0
99	0	2023	441.199078854594	7.09055471267677	0.828056307049958	376.368788146324	273.721543869758	0	0	0	0
100	0	2023	284.083586011898	5.74655276647884	0.837104543921818	422.24282217271	308.344661699832	0	0	0	0
102	0	2023	828.534992097355	4.27071959007521	0.886820615217146	369.238599394535	246.145378480164	0	0	0	0
109	0	2023	205.483119301612	1.79516674993352	0.842529030690968	179.207932144975	179.207932144975	0	0	0	0
127	0	2023	0		0		0	0	0	0	0
108	0	2025	380	7.5	0.83	327	327	0	0	0	0
299	0	2023	311.009663291081	4.61830595848529	0.803902627025683	464.958751584893	370.865147347404	0	0	0	0
301	0	2023	213.725857086426	9.06916325402947	0.76011310746678	543.487699466158	427.192089347343	0	0	0	0
304	0	2023	322.224685722566	6.5842279666848	0.839287798153184	430.856119658585	338.982691891743	0	0	0	0
305	0	2023	554.531938952883	6.14910270916698	0.861497198379143	384.720165814228	291.26422764	0	0	0	0
310	0	2023	297.575282803464	5.31356693620845	0.714195867026056	387.168197257517	387.168197257517	0	0	0	0
312	0	2023	426.192190540141	7.01929225608444	0.818009696548355	438.494485288956	337.001356099338	0	0	0	0
315	0	2023	457.553243498199	8.60569355139937	0.807757962905871	378.766322702466	276.318978480371	0	0	0	0
318	0	2023	707.536668268447	8.52003753551766	0.807423054271049	485.563079259402	359.408281812532	0	0	0	0
319	0	2023	579.614229314629	6.18452701565099	0.843762889901203	370.798132541836	260.221932792788	0	0	0	0
323	0	2023	454.264673129771	5.38572650932511	0.832298158189852	353.76982921679	251.954384670684	0	0	0	0
325	0	2023	93.8261637606726	3.68269590147207	0.379169932511881	364.590181686351	275.944439484559	0	0	0	0
327	0	2023	550.924446363876	7.01157985530721	0.850405711351562	442.772844377566	338.061873623303	0	0	0	0
328	0	2023	558.465245261841	5.81800875277733	0.861027109354517	362.383315894557	249.304457960801	0	0	0	0
