NUMB1120	YearN	H	HFIX	NUST	OES
632	2024	5142.5	1	24	6
635	2024	5110.7	1	320	6
638	2024	3026.3	1	19	6
639	2024		1	6	6
641	2024	0	1		6
683	2024	3728.5	1	410	6
685	2024	719.3	1	18	6
771	2024	117.7	1	27.2	7
777	2024	0	1		7
856	2024	5628.6	1	16	2
857	2024	6458.4	1	12	2
873	2024		1	6	2
875	2024	5930.5	1	22	4
898	2024		1	24	5
945	2024	5580.6	1	25.22	1
946	2024	4129	1	20	2
953	2024		1	5.5	1
988	2024	3831.4	1	20.252	2
1041	2024	119.7	1	82.6	7
1060	2024		1	12	4
1061	2024		1	16	4
1063	2024	5759.3	1	44	1
1128	2024	6667.8	1	24	2
1129	2024	2408.4	1	6	2
1132	2024	8597.7	1	6	2
1188	2024		1	20	1
1197	2024		1	6	4
1209	2024	1726.9	1	24	6
1248	2024	268.7	1	297.44	6
1265	2024	5986.9	1	7.1	1
1266	2024	7188.2	1	2	3
1272	2024	0.5	1	16	2
1321	2024	708.6	1	141	4
1325	2024	8233.2	1	18	6
1327	2024		1	2.1	2
1328	2024	6406.7	1	12	2
1333	2024	6142.9	1	12	1
1335	2024	5856.3	1	60	1
1337	2024	3823.7	1	11.2	4
1341	2024		1	90	2
1366	2024	6070.8	1	75	1
1437	2024	2929.6	1	30	3
1439	2024	7718.7	1	49	3
1443	2024	3942.7	1	10	6
1478	2024	4430.4	1	8.584	1
1561	2024	813.8	1	4	4
1562	2024	4783.1	1	2.114	4
1571	2024	2834.4	1	28	3
1575	2024	811.7	1	12	6
1587	2024	6500	1	62	9
1593	2024		1	24	6
1771	2024	5800	1	131.91	5
1820	2024		1	110	2
1826	2024	2.6	1	49.8	7
1832	2024	1254.3	1	18	2
1836	2024	1656.1	1	7.5	1
1837	2024	2849.5	1	8.16	4
1841	2024	3069.1	1	9.5	6
1842	2024	1	1	18	6
1851	2024	4018.9	1	13.5	6
1854	2024	3039.9	1	399	6
1891	2024	934.5	1	25	6
1950	2024	1.4	1	17.28	6
2053	2024	606	1	5	9
2070	2024	866	1	139.46	7
2072	2024	76.3	1	2.166	3
2073	2024	501.4	1	12	1
2074	2024	98.7	1	9	1
2075	2024	1.9	1	9	1
2088	2024	8937.8	1	150	2
3003	2024	2180.2	1	21	1
3007	2024	7542.9	1	6	4
3011	2024	6842.4	1	206.4	6
3035	2024		1	24.9	1
3041	2024	5895.5	1	12.458	2
3055	2024	61.9	1	10	2
3056	2024	6997.2	1	16	2
3062	2024		1	153	4
3063	2024	5784.1	1	7.276	4
3064	2024	3549.7	1	6	6
3065	2024	0.9	1	86	4
3068	2024		1	33	4
3087	2024	4052.9	1	24	3
3088	2024	4619.8	1	13.69	2
3089	2024	4835.2	1	23.49	3
3095	2024	252.7	1	10.8	4
3099	2024	1857.8	1	2.7	1
3115	2024	5146.1	1	6.5	1
3116	2024	8.2	1	4.5	1
3119	2024	1338.1	1	33.771	4
3132	2024	4540.3	1	12	3
3133	2024	805.2	1	7.5	2
3136	2024	3052.8	1	6.7	2
3138	2024	7971.4	1	24	6
3139	2024	8525.3	1	24	6
3140	2024	6645.7	1	100	1
3141	2024	4150.4	1	6	1
3142	2024	1343.9	1	2.3	1
3143	2024	5340.3	1	55	1
3144	2024	21.7	1	2.4	1
3160	2024	6120.9	1	16.5	1
3170	2024	2522.9	1	16	3
3173	2024	1814.1	1	20.5	4
3174	2024	3830.8	1	12.08	4
3175	2024	7228	1	2.118	2
3180	2024	5310.4	1	52.745	4
3181	2024	4389.2	1	2.25	4
3183	2024	4162.5	1	7.054	4
3202	2024	20.8	1	10.5	1
3204	2024	3506.5	1	25.218	4
3207	2024	5509.7	1	6.1	7
3209	2024	762.2	1	7.93	4
3214	2024	6884.6	1	12	1
3222	2024	1310.8	1	33.9	4
3223	2024	2600.5	1	8	4
3226	2024	7241.8	1	48.4	4
3227	2024	2153.9	1	8.18	3
3230	2024	6984.1	1	1.067	6
3240	2024	6742.1	1	3.9	4
3606	2024	4430.4	1	8.584	1
3607	2024	0	1		1
7	2025	4500	1	178	1
10	2025	4150	1	305	1
22	2025	4245	1	24	1
25	2025	300	1	22	1
39	2025	5272	1	572.7	1
41	2025	0	1	27.4	4
42	2025	490	1	53.06	1
43	2025	2660	1	23.253	2
55	2025	7234	1	20.5	1
78	2025	6325	1	20	1
79	2025	5000	1	78	1
82	2025	2000	1	18	1
84	2025	5150	1	93	1
85	2025	2450	1	24	1
86	2025	4750	1	22.8	1
90	2025		1	8.5	1
94	2025	1870	1	24	1
115	2025	8540	1	345.8	2
116	2025	8746	1	189.8	2
117	2025	6440	1	159	2
120	2025	1200	1	3	2
126	2025	3400	1	656.21	2
127	2025	0	1	4.3	3
142	2025	1310	1	43	2
164	2025	8142	1	12	1
204	2025	1070	1	24	2
209	2025	3545	1	24.7	2
212	2025	8442	1	35.518	1
226	2025	2380	1	400	2
234	2025	7240	1	24.9	2
239	2025	5190	1	105	2
241	2025	3900	1	101.5	2
242	2025	5740	1	24	2
272	2025	7521	1	332	2
273	2025	0	1	12	2
282	2025	0.05	1	121	4
325	2025	5075	1	20.5	3
355	2025	5100	1	54	3
382	2025	0	1	6	4
433	2025	6670	1	494.783	3
435	2025	7600	1	149.9	5
437	2025	3965	1	108	5
455	2025	7300	1	24.5	5
456	2025	7400	1	300	5
457	2025	7500	1	208.77	5
458	2025	7700	1	101	5
459	2025	5800	1	229	5
460	2025	4000	1	36	5
461	2025	0	1	6	5
483	2025	7500	1	23.6	5
487	2025	5200	1	24	5
497	2025	6400	1	172	5
526	2025	0	1	8.001	5
533	2025	1400	1	10	5
580	2025	3775	1	200	6
582	2025	2263	1	18	6
585	2025	866	1	14.7	6
608	2025	5248	1	600	6
612	2025	6113	1	24.8	6
613	2025	2676	1	85	6
631	2025	2198	1	17	6
632	2025	5143	1	24	6
635	2025	5111	1	320	6
638	2025	3026	1	18.9	6
639	2025	0	1	6	6
641	2025	1	1	0	6
681	2025	3502	1	12	6
682	2025	2689	1	24	6
683	2025	3728	1	410	6
685	2025	719	1	18	6
744	2025	1340	1	50	9
755	2025	5130	1	48	9
771	2025	120	1	27.2	7
772	2025	4500	1	12	7
777	2025		1	0	7
832	2025	0	1	120	5
856	2025	5630	1	16	2
857	2025	6460	1	12	2
873	2025	0	1	0	2
875	2025	6000	1	22	4
898	2025	0	1	24	5
945	2025	5580	1	25.218	1
946	2025	4130	1	20	2
953	2025	0	1	5.48	1
956	2025	2610	1	12	2
988	2025	3830	1	20.25	2
1041	2025	150	1	82.6	7
1060	2025	0	1	12	4
1061	2025		1	16	4
1062	2025	0.06	1	6	4
1063	2025	5800	1	44	1
1068	2025	0	1	21	9
1097	2025	3860	1	76	6
1128	2025	6670	1	24	2
1129	2025	2410	1	6	2
1132	2025	8600	1	6	2
1144	2025	2000	1	12	2
1155	2025	6000	1	24	5
1156	2025	300	1	72	5
1157	2025	260	1	72	5
1188	2025	0	1	20	1
1197	2025	0	1	6	4
1203	2025	4500	1	144.7	5
1209	2025	1740	1	24	6
1211	2025	1908	1	24	6
1214	2025	4600	1	4	5
1241	2025	5100	1	43.6	3
1248	2025	269	1	297.44	6
1265	2025	6000	1	7.1	1
