NAME	YEAR	NUST	NR	E	EWTP	Q	QOTR	H	HFIX	OBOR	VED	OBL	OES	NUMB1120	numb1	v	EOTP	EURT	EUST	TURT	TUST	B	GAZ	MAZUT	PROCH	UGOL	PECH	KUZN	KAN	URAL
	2031	12.504	7.28373521505376	62.95764	0			5035	1	20	4	34	3	3184	970.61	0	61.6984872	270	16.658591544		0	16.658591544	16.658591544	0	0	0	0	0	0	0
	2031	43.6	26.6919327956989	222.36	0	100		5100	1	89	3	34	3	1241	970.611	0	216.801	230	49.86423	160	16	65.86423	65.86423	0	0	0	0	0	0	0
	2031	24	12.991935483871	100.8	91.8	153	153	4200	1	90	3	34	3	3185	970.62	0	98.525054328142	339.272146748926	33.4268066904633	160.021508396308	24.4832907846352	57.9100974750985	57.9100974750985	0	0	0	0	0	0	0
	2031	20.5	18.474	91.0925957648933	27.7081785199108	60	40	4443.54125682406		90	2	34	3	3203	970.63	0	87.226894329171	401.965402484431	35.0621936864922	140	8.4	43.4621936864922	43.4621936864922	0	0	0	0	0	0	0
	2031	16	16.0632580645161	128	114	100	100	8000	1	92	3	34	3	3228	970.64	0	122.350100389442	327.656729580483	40.0888337574483	136.858369392161	13.6858369392161	53.7746706966643	53.7746706966643	0	0	0	0	0	0	0
	2031	18	16.4927607526882	142.398	0	110	110	7911	1	90	3	34	3	3171	970.71	0	133.853847167052	273.924542443631	36.6658538395544	160.000010716804	17.6000011788485	54.2658550184028	54.2658550184028	0	0	0	0	0	0	0
	2031	55	55	302.5	0			5500	1	90	3	34	3	3172	970.72	0	291.9125	250	72.978125		0	72.978125	0	0	0	0	0	0	0	0
	2031	195	195	983.702243195951	457.753892992384	1053.86	900	5044.62688818437		94	2	35	3	352	971	0	889.962185822279	296.855126269077	264.189837046976	142.709568890749	150.395906271204	414.585743318181	414.585743318181	0	0	0	0	0	0	0
	2031	0	0.001	0	0			4800		95	2	35	3	354	975	0	0	0	0	165.691358683292	0	0	0	0	0	0	0	0	0	0
	2031	54	33.294	275.4	99.1475517170775	865	865	5100	1	92	3	35	3	355	977	0	241.238901201831	488.440909967806	117.830948422656	179.303220612103	155.097285829469	272.928234252125	272.928234252125	0	0	0	0	0	0	0
	2031	220	220	1125.52886199852	619.816141186067	1265.064	1200	5116.04028181143		94	2	36	3	357	981	0	1011.04280346174	317.231105262364	320.734226009726	131.861465189006	166.813192597865	487.547418607591	487.547418607591	0	0	0	0	0	0	0
	2031	60	60	166.466252636719	97.9890476828941	200	165	2774.43754394531		93	2	36	3	358	983	0	142.886778020038	529.168004297719	75.6111111653947	188.46438324266	37.6928766485319	113.303987813927	113.303987813927	0	0	0	0	0	0	0
	2031			0	0	456.4862		4800		95	2	36	3	3046	993.1	0	0	0	0	156.487956487956	71.4345926029526	71.4345926029526	71.4345926029526	0	0	0	0	0	0	0
	2031	12	10.8	33.0748347411574	33.0748347411574	220	52	2756.23622842978		10	3	36	3	1245	994.5	0	31.4051236152159	380.913244001469	11.962627514539	116.178974514152	25.5593743931134	37.5220019076525	37.5220019076525	0	0	0	0	0	0	0
	2031	5	0.001	2.1	0			420	1	20	4	36	3	1580	996.5	0	2.07331063522721	810.069517121631	1.67952574512165		0	1.67952574512165	1.67952574512165	0	0	0	0	0	0	0
	2031	18	18	98.8380413433442	49.5	11	11	5491.00229685246		90	2	36	3	1594	996.7	0	97.4008117329412	435.771979693805	42.4445445526474	161.050034833845	1.7715503831723	44.2160949358197	44.2160949358197	0	0	0	0	0	0	0
	2031	73	0.001	209.875	0			2875	1	91	3	36	3	1595	996.9	0	192.937786777074	278.435190630745	53.7206694411486	160.01	0	53.7206694411486	53.7206694411486	0	0	0	0	0	0	0
	2031	460	460	1813.72671159502	913.5	1988.37	1750	3942.88415564135		94	2	37	3	362	999	0	1618.18697534135	349.61652995458	565.744915136538	138.78223935409	275.950441264492	841.69535640103	841.69535640103	0	0	0	0	0	0	0
	2031	301	300	1090.14847542001	719.032561833002	1678.55	1600	3621.75573229239		94	2	37	3	363	1001	0	949.487180172207	332.46988667984	315.675895195814	146.319927514875	245.605314330093	561.281209525907	561.281209525907	0	0	0	0	0	0	0
